77;43.9
78;51.8
79;63.2
80;71.4
81;79.6
82;92.9
83;108.4
84;123.7
85;136.8
86;150.3
87;162.6
88;170.3
89;181.5
90;191.4
91;197.4
92;204.1
93;208.8
94;206.5
95;204.3
96;201.5
97;204.3
98;201.5
99;197
100;191.2
101;189.5
102;188.8
103;189.2
104;187.5
105;179.1
106;174.2
107;169.7
108;162.8
109;159.6
110;159.1
111;153.1
112;148.8
113;147.7
114;144.5
115;139.1
116;138.3
117;134.4
118;130.1
119;123.2
120;116.3
121;111.2
122;110.5
123;108.4
124;107.1
125;99.8
126;86.9
127;81.5
128;78.5
129;77.6
130;75.3
131;73.5
132;64.5
133;59.8
134;54.8
135;54.4
136;53.1
137;50.3
138;50.1
139;48.6
140;47.1
141;46.9
142;45.2
143;45.2
144;43.9
145;41.9
146;39.1
147;38.9
148;38.5
149;36.1
150;35.3
151;34.6
152;34.2
153;31.4
154;31.8
155;29.7
156;28
157;27.5
158;27.1
159;25.8
160;21.7
161;19.8
162;19.8
163;17.4
164;18.5
165;19.1
166;18.7
167;17.6
168;16.6
169;16.3
170;15.1
171;15.1
172;15.1
173;14.2
174;13.8
175;13.3
176;12.7
177;12
178;12
179;12
180;11.8
181;11.4
182;11.2
183;11.2
184;11
185;10.1
186;10.1
187;10.3
188;11.2
189;11
190;10.3
191;9.9
192;9.9
193;9.9
194;9.7
195;9.2
196;9
197;8.4
198;8
199;8.2
200;8.2
201;8
202;7.3
203;7.1
204;6.5
205;4.3
206;4.1
207;4.1
208;3.9
209;4.1
210;3.9
211;3.9
212;3.2
213;3.2
214;3.2
215;3
216;3
217;3.2
218;3.4
219;3.7
220;3.7
221;3.7
222;3.7
223;3.7
224;3.4
225;3.7
226;3.9
227;3.9
228;3.9
229;3.9
230;3.9
231;3.7
232;3.9
233;4.3
234;4.3
235;4.3
236;4.5
237;4.3
238;3.2
239;3.4
240;3
241;3.2
242;3.2
243;3.2
244;3.4
245;3.9
246;3.2
247;3.4
248;3.2
249;3.2
250;2.8
251;3.4
252;3.9
253;4.1
254;3.7
255;3.7
256;3.7
257;3.9
258;4.5
259;4.7
260;4.5
261;4.5
262;4.5
263;4.5
264;4.7
265;4.9
266;4.5
267;5.8
268;7.5
269;7.3
270;7.3
271;7.7
272;7.5
273;8.2
274;9.5
275;9.9
276;9.5
277;9.5
278;9.7
279;9.5
280;9.5
281;8.4
282;8.8
283;8.6
284;9.7
285;10.8
286;11.6
287;12.7
288;14.4
289;15.5
290;13.5
291;14
292;14.6
293;15.9
294;17.4
295;17.8
296;21.3
297;20.4
298;21.7
299;23.7
300;25.8
301;27.3
302;28.4
303;32.5
304;33.5
305;37.4
306;39.6
307;43.4
308;44.5
309;46.9
310;51.2
311;53.1
312;54.2
313;59.6
314;63.4
315;65.2
316;68.6
317;69.9
318;72
319;73.5
320;74
321;73.8
322;75.9
323;73.5
324;74.6
325;75.9
326;76.8
327;75.9
328;75.5
329;74.6
330;71.4
331;67.7
332;66
333;66.7
334;67.5
335;63.2
336;61.5
337;61.5
338;60
339;60.6
340;60.6
341;59.6
342;57.8
343;57
344;57.4
345;56.3
346;57
347;57.8
348;60.9
349;64.1
350;63
351;61.9
352;60.6
353;60.6
354;60
355;58.5
356;60.2
357;58.3
358;60
359;60
360;63.4
361;62.8
362;64.7
363;63.4
364;63.9
365;65.4
366;64.9
367;66
368;66
369;64.7
370;63.7
371;63
372;64.5
373;66.2
374;64.3
375;66.9
376;68.4
377;67.5
378;68.6
379;68.6
380;68.6
381;67.5
382;69.9
383;69
384;67.7
385;68.4
386;69
387;68.2
388;67.1
389;69.7
390;71.6
391;70.1
392;71.2
393;69.5
394;69.5
395;70.1
396;71
397;72.7
398;74
399;71.8
400;69.2
